screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0001,27860426,"Human corneal fibroblast migration and extracellular matrix synthesis during stromal repair: Role played by platelet-derived growth factor-BB, basic fibroblast growth factor, and transforming growth factor-β1.",,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2360,B3_stroma,1,,,,,
PUBMED_0002,27863068,Scaffold-free tissue engineering of functional corneal stromal tissue.,,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2363,B3_stroma,1,,,,,
PUBMED_0003,28485528,Bioengineered keratocyte spheroids fabricated on chitosan coatings enhance tissue repair in a rabbit corneal stromal defect model.,,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2456,B3_stroma,1,,,,,
PUBMED_0004,28600807,Multi-layered silk film coculture system for human corneal epithelial and stromal stem cells.,,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2499,A3_epithelium_limbus,1,,,,,
PUBMED_0005,28613758,Neurotrophic Keratitis.,,2026,,,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_0006,28780705,A viscoelastic anisotropic hyperelastic constitutive model of the human cornea.,,2018,Biomechanics and modeling in mechanobiology,10.1007/s10237-017-0942-2,B3_stroma,1,,,,,
PUBMED_0007,29023312,Prediction of Descemet Membrane Perforation During Deep Anterior Lamellar Keratoplasty in Patients With Keratoconus With Stromal Scar.,,2018,Eye & contact lens,10.1097/ICL.0000000000000434,C4_endothelium,1,,,,,
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.",,2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0009,29040116,Air Versus Sulfur Hexafluoride Gas Tamponade in Descemet Membrane Endothelial Keratoplasty: A Fellow Eye Comparison.,,2018,Cornea,10.1097/ICO.0000000000001413,C4_endothelium,1,,,,,
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,,2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,,,,,
PUBMED_0011,29043524,Improving the success rate of human corneal endothelial cell cultures from single donor corneas with stabilization medium.,,2018,Cell and tissue banking,10.1007/s10561-017-9665-y,C4_endothelium,1,,,,,
PUBMED_0012,29111821,"Correlations of Corneal Optical Densitometry, Endothelial Hexagonality Percentage, and Epithelium Thickness.",,2018,Current eye research,10.1080/02713683.2017.1387271,C4_endothelium,1,,,,,
PUBMED_0013,29128534,Development of gelatin/ascorbic acid cryogels for potential use in corneal stromal tissue engineering.,,2018,Acta biomaterialia,10.1016/j.actbio.2017.11.018,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0014,29133296,Comparison of preservation and transportation protocols for preloaded Descemet membrane endothelial keratoplasty.,,2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-310906,C4_endothelium,1,,,,,
PUBMED_0015,29135708,High Permeability and Intercellular Space Widening With Brimonidine Tartrate Eye Drops in Cultured Stratified Human Corneal Epithelial Sheets.,,2018,Cornea,10.1097/ICO.0000000000001450,A3_epithelium_limbus,1,,,,,
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,,2018,Cornea,10.1097/ICO.0000000000001459,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0017,29193831,Mimicking corneal stroma using keratocyte-loaded photopolymerizable methacrylated gelatin hydrogels.,,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2621,B3_stroma,1,,,,,
PUBMED_0018,29207049,Coordinated microRNA/mRNA expression profiles reveal a putative mechanism of corneal epithelial cell transdifferentiation from skin epidermal stem cells.,,2018,International journal of molecular medicine,10.3892/ijmm.2017.3304,A3_epithelium_limbus,1,,,,,
PUBMED_0019,29208552,Controlling human corneal stromal stem cell contraction to mediate rapid cell and matrix organization of real architecture for 3-dimensional tissue equivalents.,,2018,Acta biomaterialia,10.1016/j.actbio.2017.11.047,B3_stroma,1,,,,,
PUBMED_0020,29260410,Suprachoroidal drainage with collagen sheet implant- a novel technique for non-penetrating glaucoma surgery.,,2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-017-3873-9,D3_full_thickness_multilayer,1,,,,,
PUBMED_0021,29281419,Electro-spun Membranes as Scaffolds for Human Corneal Endothelial Cells.,,2018,Current eye research,10.1080/02713683.2017.1377258,D3_full_thickness_multilayer,1,,,,,
PUBMED_0022,29294389,NQO1 downregulation potentiates menadione-induced endothelial-mesenchymal transition during rosette formation in Fuchs endothelial corneal dystrophy.,,2018,Free radical biology & medicine,10.1016/j.freeradbiomed.2017.12.036,C4_endothelium,1,,,,,
PUBMED_0023,29300261,Scheimpflug Densitometry After DMEK Versus DSAEK-Two-Year Outcomes.,,2018,Cornea,10.1097/ICO.0000000000001483,C4_endothelium,1,,,,,
PUBMED_0024,29306866,Mechanical stress potentiates the differentiation of periodontal ligament stem cells into keratocytes.,,2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311150,B3_stroma,1,,,,,
PUBMED_0025,29327391,Molecular phenotype of SLC4A11 missense mutants: Setting the stage for personalized medicine in corneal dystrophies.,,2018,Human mutation,10.1002/humu.23401,C4_endothelium,1,,,,,
PUBMED_0026,29338061,Feasibility of cell-based therapy combined with descemetorhexis for treating Fuchs endothelial corneal dystrophy in rabbit model.,,2018,PloS one,10.1371/journal.pone.0191306,C4_endothelium,1,,,,,
PUBMED_0027,29343529,Quarter-Descemet membrane endothelial keratoplasty (Quarter-DMEK) for Fuchs endothelial corneal dystrophy: 6 months clinical outcome.,,2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311398,C4_endothelium,1,,,,,
PUBMED_0028,29359095,Quantization of collagen organization in the stroma with a new order coefficient.,,2018,Biomedical optics express,10.1364/BOE.9.000173,B3_stroma,1,,,,,
PUBMED_0029,29384808,Regenerative Therapy for Fuchs Endothelial Corneal Dystrophy.,,2018,Cornea,10.1097/ICO.0000000000001518,C4_endothelium,1,,,,,
PUBMED_0030,29392398,Generation and characterisation of decellularised human corneal limbus.,,2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-018-3904-1,A3_epithelium_limbus,1,,,,,
PUBMED_0031,29407158,Hydrazone crosslinked hyaluronan-based hydrogels for therapeutic delivery of adipose stem cells to treat corneal defects.,,2018,"Materials science & engineering. C, Materials for biological applications",10.1016/j.msec.2017.12.013,B3_stroma,1,,,,,
PUBMED_0032,29413615,Functionalized silk fibroin film scaffold using β-Carotene for cornea endothelial cell regeneration.,,2018,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2017.11.052,C4_endothelium,1,,,,,
PUBMED_0033,29429294,[Pre-descement membrane endothelial keratoplasty for treatment of patients with corneal endothelial decompensation].,,2018,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,10.3760/cma.j.issn.0412-4081.2018.02.007,C4_endothelium,1,,,,,
PUBMED_0034,29430874,Characterizing human decellularized crystalline lens capsules as a scaffold for corneal endothelial tissue engineering.,,2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2633,C4_endothelium,1,,,,,
PUBMED_0035,29453401,Endothelial smoothened-dependent hedgehog signaling is not required for sonic hedgehog induced angiogenesis or ischemic tissue repair.,,2018,Laboratory investigation; a journal of technical methods and pathology,10.1038/s41374-018-0028-5,C4_endothelium,1,,,,,
PUBMED_0036,29483081,Progressive idiopathic unilateral corneal endothelial failure of unknown aetiology in phakic eyes.,,2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311333,C4_endothelium,1,,,,,
PUBMED_0037,29489516,Five Keratoplasties From One Donor Cornea.,,2018,Cornea,10.1097/ICO.0000000000001551,C4_endothelium,1,,,,,
PUBMED_0038,29495264,Engineering of Corneal Tissue through an Aligned PVA/Collagen Composite Nanofibrous Electrospun Scaffold.,,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8020124,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,,,,,
PUBMED_0039,29496505,Hypoxia modulates the development of a corneal stromal matrix model.,,2018,Experimental eye research,10.1016/j.exer.2018.02.021,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0040,29535350,TGF-β1 promotes cell barrier function upon maturation of corneal endothelial cells.,,2018,Scientific reports,10.1038/s41598-018-22821-9,A3_epithelium_limbus;C4_endothelium,2,,,,,
PUBMED_0041,29538596,Treatment of perforated cornea with an autologous lamellar scleral graft: histologic findings.,,2018,Arquivos brasileiros de oftalmologia,10.5935/0004-2749.20180013,B3_stroma,1,,,,,
PUBMED_0042,29557816,Outcomes of Hemi-Descemet Membrane Endothelial Keratoplasty for Fuchs Endothelial Corneal Dystrophy.,,2018,Cornea,10.1097/ICO.0000000000001578,C4_endothelium,1,,,,,
PUBMED_0043,29564655,Template-based methodology for the simulation of intracorneal segment ring implantation in human corneas.,,2018,Biomechanics and modeling in mechanobiology,10.1007/s10237-018-1013-z,B3_stroma,1,,,,,
PUBMED_0044,29595764,Use of Donor Corneas From Pseudophakic Eyes for Descemet Membrane Endothelial Keratoplasty.,,2018,Cornea,10.1097/ICO.0000000000001589,C4_endothelium,1,,,,,
PUBMED_0045,29620862,Gelatin-Based Photocurable Hydrogels for Corneal Wound Repair.,,2018,ACS applied materials & interfaces,10.1021/acsami.7b17054,A3_epithelium_limbus;D3_full_thickness_multilayer,2,,,,,
PUBMED_0046,29634673,Double-Bubble Technique in Descemet Membrane Endothelial Keratoplasty for Vitrectomized Eyes: A Case Series.,,2018,Cornea,10.1097/ICO.0000000000001606,C4_endothelium,1,,,,,
PUBMED_0047,29634675,Overview of Systemic Candida Infections in Hospital Settings and Report of Candida After DMEK Successfully Treated With Antifungals and Partial Graft Excision.,,2018,Cornea,10.1097/ICO.0000000000001608,C4_endothelium,1,,,,,
PUBMED_0048,29634842,"The Relationship Between Mechanical Properties, Ultrastructural Changes, and Intrafibrillar Bond Formation in Corneal UVA/Riboflavin Cross-linking Treatment for Keratoconus.",,2018,"Journal of refractive surgery (Thorofare, N.J. : 1995)",10.3928/1081597X-20180220-01,B3_stroma,1,,,,,
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,,2018,Cell transplantation,10.1177/0963689717741140,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_0050,29654575,Confocal scanning laser microscopy in patients with postoperative endophthalmitis.,,2019,International ophthalmology,10.1007/s10792-018-0916-0,C4_endothelium,1,,,,,
PUBMED_0051,29654654,Compressed Collagen Enhances Stem Cell Therapy for Corneal Scarring.,,2018,Stem cells translational medicine,10.1002/sctm.17-0258,B3_stroma,1,,,,,
PUBMED_0052,29672430,Recovery of Corneal Clarity After DMEK Followed by Rebubbling Versus Uneventful DMEK.,,2018,Cornea,10.1097/ICO.0000000000001554,C4_endothelium,1,,,,,
PUBMED_0053,29678720,A completely human-derived biomaterial mimicking limbal niche: Platelet-rich fibrin gel.,,2018,Experimental eye research,10.1016/j.exer.2018.04.013,A3_epithelium_limbus,1,,,,,
PUBMED_0054,29680447,Cultivation of corneal endothelial cells from sheep.,,2018,Experimental eye research,10.1016/j.exer.2018.04.011,C4_endothelium,1,,,,,
PUBMED_0055,29684677,Human stem cell based corneal tissue mimicking structures using laser-assisted 3D bioprinting and functional bioinks.,,2018,Biomaterials,10.1016/j.biomaterials.2018.04.034,D3_full_thickness_multilayer,1,,,,,
PUBMED_0056,29691018,Carboxymethyl chitosan/gelatin/hyaluronic acid blended-membranes as epithelia transplanting scaffold for corneal wound healing.,,2018,Carbohydrate polymers,10.1016/j.carbpol.2018.03.033,A3_epithelium_limbus,1,,,,,
PUBMED_0057,29698634,Function-Related Protein Expression in Fuchs Endothelial Corneal Dystrophy Cells and Tissue Models.,,2018,The American journal of pathology,10.1016/j.ajpath.2018.03.014,C4_endothelium,1,,,,,
PUBMED_0058,29707747,Comparison of Human Denuded Amniotic Membrane and Porcine Small Intestine Submucosa as Scaffolds for Limbal Mesenchymal Stem Cells.,,2018,Stem cell reviews and reports,10.1007/s12015-018-9819-8,B3_stroma,1,,,,,
PUBMED_0059,29708936,Frequency of Complications During Preparation of Corneal Lamellae Used in Posterior Lamellar Keratoplasty Using the Pneumodissection Technique (Big Bubble).,,2018,Cornea,10.1097/ICO.0000000000001503,C4_endothelium,1,,,,,
PUBMED_0060,29710848,Biofunctionalized Lysophosphatidic Acid/Silk Fibroin Film for Cornea Endothelial Cell Regeneration.,,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8050290,C4_endothelium;D3_full_thickness_multilayer,2,,,,,
PUBMED_0061,29737973,In Vivo Endothelial Cell Density Decline in the Early Postoperative Phase After Descemet Membrane Endothelial Keratoplasty.,,2018,Cornea,10.1097/ICO.0000000000001484,C4_endothelium,1,,,,,
PUBMED_0062,29755822,Descemet Membrane Endothelial Keratoplasty with Irregular-Edged Graft: A Salvage Method for Large Radial Graft Tears.,,2018,Turkish journal of ophthalmology,10.4274/tjo.39019,C4_endothelium,1,,,,,
PUBMED_0063,29756410,The feasibility and efficacy of preparing porcine Descemet's membrane endothelial keratoplasty (DMEK) grafts by two techniques: An ex-vivo investigation for future xeno-DMEK.,,2018,Xenotransplantation,10.1111/xen.12407,C4_endothelium,1,,,,,
PUBMED_0064,29772228,3D bioprinting of a corneal stroma equivalent.,,2018,Experimental eye research,10.1016/j.exer.2018.05.010,D3_full_thickness_multilayer,1,,,,,
PUBMED_0065,29805794,Generation of Femtosecond Laser-Cut Decellularized Corneal Lenticule Using Hypotonic Trypsin-EDTA Solution for Corneal Tissue Engineering.,,2018,Journal of ophthalmology,10.1155/2018/2590536,B3_stroma,1,,,,,
